economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
AFE,YR1988,,52.5956906088009,2.09091854977815,1.40720536294492,954367.244729883,,313076.9568,205320.3594,,,,0.000879339538149649,657.347249119682,,,
AFE,YR1989,,50.5448983761109,2.10218017555661,1.3571436122601,1053647.87710211,,341636.5722,229784.455149,,,,0.000841810537367707,657.186356415773,,,
AFE,YR1990,61.6259645158391,50.0707227250509,1.60819764052278,1.01750484253188,-23342.3965470593,,330740.0,209670.0,,,,0.00419592051216977,696.98814539625,,,
AFE,YR1991,62.8763185657578,50.4935534597248,1.52488388734105,0.971323798302622,-24323.7360551339,,331400.0,209330.0,,,,0.00636384470254462,704.427088459081,,,
AFE,YR1992,64.6365408017388,47.9665066837686,1.53500152966779,0.931920141006098,-29755.7156156474,,337860.0,212110.0,,,,0.0050364844470682,683.336134465999,,,
AFE,YR1993,65.2916759662353,49.2806847139485,1.50433068134688,0.925464631734179,-22821.2633810079,,338280.0,211680.0,,,,0.00758828474717909,706.488038736633,,,
AFE,YR1994,65.3797639253878,48.8116182999389,1.48418332412979,0.91861181412739,-23583.9962196389,,344760.0,214300.0,,,,0.00805862964254378,702.415965784792,,,
AFE,YR1995,64.9825097919131,49.4445246044049,1.50715239986758,0.946474948273096,-21069.7066289722,,350310.0,214790.0,,,,0.00783627099700522,771.410097098471,,,
AFE,YR1996,64.2186681612097,48.6564667405138,1.52203699573044,0.951132322351584,-24252.470340482,,352330.0,212410.0,,,,0.00896485677057365,747.841550124969,,,
AFE,YR1997,63.3856250040084,48.6084397597282,1.55812017549538,0.971562627514033,-26831.0999829805,,357750.0,210570.0,,,,0.00810455003624027,765.967485354054,,,
