,GDP per capita (current US$),CO2 emissions (metric tons per capita)
105,197.445507551145,0.153557886047794
106,224.225001566116,0.181522331822523
107,247.354087806417,0.16189421955253
108,275.738115377232,0.167066361644792
109,272.655510200686,0.131783026990604
110,264.111197144336,0.150614587555618
111,,0.163104060867604
112,,0.201224272460123
113,,0.231961079966366
114,,0.293957030722544
115,,0.26777194992884
116,,0.26922950314782
117,,0.246823207558473
118,,0.233882273405403
119,,0.238472916123355
120,,0.20603028073656
121,,0.0987191160179498
122,,0.0859856046188432
123,,0.0761314539561651
124,,0.0690201164374886
125,,0.0625880343135185
126,,0.0568266177530693
127,,0.0531974990082466
128,,0.040652730150598
129,,0.0370549371204185
130,,0.0374878650392429
131,179.426579211394,0.0486708995010525
132,190.683814295088,0.0570080382600792
133,211.382074198939,0.0456996082249427
134,242.031313175022,0.0639269698296666
135,263.733601866274,0.0733929460601948
136,359.693157866109,0.0870831291861248
137,364.6635420423,0.158356377673251
138,437.26874023514,0.211306250868557
139,543.306526178281,0.297065211570221
140,591.190030208565,0.407073503097594
141,638.845851607289,0.335351023308404
142,624.315454506615,0.263715760645502
143,614.223342360392,0.234036914423758
144,556.007220861443,0.232175631246749
145,512.012778129357,0.208857195602366
146,516.679862210543,0.20332756862023
147,485.668418729808,0.200151071015376
148,494.179349886029,
149,195.433564888654,0.302643479896622
150,169.119100472264,0.392109391076013
151,200.168407134048,0.45999287014197
152,241.711430329646,0.538522176233876
153,333.192493397619,0.635965579894977
154,377.788046952202,0.514018317684381
155,444.374421151956,0.550024410790311
156,454.790166433819,0.516336767184566
157,482.477486200178,0.508535707979551
158,584.373990532901,0.648273151810273
159,718.691848126908,0.634540785170757
160,1316.93170404015,0.604714169801265
161,1136.46243630013,0.599648542820184
162,815.900740280563,0.539567272388253
163,656.712783360308,0.581373175919601
164,651.510094102516,0.583495477877941
165,584.907219262827,0.543987567427204
166,584.119205546599,0.474906022874627
167,561.36145852303,0.534961929911926
168,510.419105485422,0.414090443305729
169,594.72600919977,0.440470203040358
170,558.435680915393,0.474867700636726
171,547.663092908291,0.516676903434888
172,445.656206211034,0.518951548675793
173,378.940492935927,0.492858479750043
174,462.864808608456,0.487494789894087
175,523.763526573847,0.507633495479665
176,515.234581172978,0.488415589155106
177,513.64255070099,0.461622319985949
178,528.577393652426,0.453548995521965
179,525.450342923443,0.447243620092775
180,539.335724366342,0.47413968480147
181,627.773944464993,0.474875185600127
182,706.955063040869,0.47459226537591
183,854.506836384316,0.474318246383295
184,1016.47597797202,0.50945830203757
185,1252.59514686795,0.48795250954826
186,1430.79640012068,0.475147837749212
187,1707.27226359303,0.475024544693043
188,1486.57265423522,0.426769596319387
189,1687.5519789005,0.472819124711189
190,1862.30826705039,0.497022584362617
