,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
143,AFG,YR2014,20.770299911499,,,0.234036914423758,-416.53784942627,,67770.0,8550.0,,,,0.0440778563089162,614.223342360392,,,
144,AFG,YR2015,20.2737998962402,,,0.232175631246749,-691.202514648438,,76590.0,8590.0,,,,0.0397543817211093,556.007220861443,,,
145,AFG,YR2016,24.7402992248535,,,0.208857195602366,-1800.00357818604,,78150.0,9120.0,,,,0.0286066618957396,512.012778129357,211.1,,51.7
146,AFG,YR2017,25.082799911499,,,0.20332756862023,,,79610.0,9450.0,,,,0.0305972755361812,516.679862210543,,,
147,AFG,YR2018,21.422700881958,,,0.200151071015376,,,81510.0,8960.0,,,,0.0425745832817803,485.668418729808,,,
179,AFW,YR2000,83.23915972312,20.8568629413288,0.951019016010306,0.447243620092775,-13492.367625922,,250940.0,176820.0,,,,0.242281326591394,525.450342923443,,,
180,AFW,YR2001,81.9992634764941,21.9965404800643,0.994898643692471,0.47413968480147,-10610.0903111101,,253200.0,171520.0,,,,0.359721556819736,539.335724366342,,,
181,AFW,YR2002,81.6342051742121,22.2330951819879,0.980873844428102,0.474875185600127,1790.31502339243,,261970.0,173450.0,,,,0.265261371355258,627.773944464993,,,
182,AFW,YR2003,80.5603505989825,23.285903357397,0.953103513205732,0.47459226537591,-96.4669198095846,,277080.0,180970.0,,,,0.363655088466727,706.955063040869,,,
183,AFW,YR2004,81.1680498971543,22.5779787475038,0.968156953407103,0.474318246383295,6671.8590920865,,284470.0,180320.0,,,,0.348331778908393,854.506836384316,,,
184,AFW,YR2005,81.0702100123662,22.6761490939365,1.03129395263278,0.50945830203757,16313.8011240959,,299570.0,188710.0,,,,0.353190753042531,1016.47597797202,,,
185,AFW,YR2006,81.9026619144582,21.3347518801466,0.993298802235711,0.48795250954826,22860.6614878773,,301570.0,189080.0,,,,0.491756447345056,1252.59514686795,,,
186,AFW,YR2007,82.1722589401389,20.6740770300019,0.954927273090046,0.475147837749212,27861.3812155128,,303450.0,189510.0,,,,0.571727229803626,1430.79640012068,,,
187,AFW,YR2008,81.5551144965369,21.4087821151267,0.900890503179282,0.475024544693043,29389.336766839,,306140.0,191720.0,,,,0.63306287363613,1707.27226359303,,,
188,AFW,YR2009,82.6154249694587,19.9887736072996,0.809583051584154,0.426769596319387,21972.710207045,,305760.0,189430.0,,,,0.558664479264808,1486.57265423522,,,
189,AFW,YR2010,80.9336234119323,21.9468785991727,0.871607496468343,0.472819124711189,31147.8831308483,888.074193409811,315610.0,196050.0,,,,0.654357669788633,1687.5519789005,,,
190,AFW,YR2011,79.5252928746749,22.6105061264302,0.901052746889454,0.497022584362617,37461.9498295187,,327790.0,201630.0,,,,1.37850430003906,1862.30826705039,,,
191,AFW,YR2012,79.0710065586817,23.053942417727,0.86522990737304,0.490866786557112,47762.8329778015,,336470.0,204520.0,,,,1.32636895450582,1965.11848480873,,,
192,AFW,YR2013,77.5442291317694,23.0816348889008,0.904595425611366,0.504655298587815,56312.0866250693,,348150.0,210520.0,,,,1.01843182298613,2157.48114862974,,,
193,AFW,YR2014,76.2761430693836,23.4712780253622,0.93143374650274,0.507671120670619,67013.9611703157,,356630.0,212830.0,,,,1.06415282734019,2212.85313466307,,,
194,AFW,YR2015,76.9675266521529,,,0.480743071312896,58562.639186859,,368640.0,218280.0,,,,0.690498028974787,1894.3101949536,,,
195,AFW,YR2016,,,,0.472959364018388,60900.7571341246,,383250.0,228580.0,,,,0.386696009451965,1673.83552685464,260.403291955942,,
196,AFW,YR2017,,,,0.476437768956377,,,386400.0,229100.0,,,,0.604854074962944,1613.47355303429,,,
197,AFW,YR2018,,,,0.515544238958445,,,392130.0,230890.0,,,,0.99780543978443,1704.1396025899,,,
229,AGO,YR2000,73.4411010742188,25.2200519176355,1.72038883291019,0.754476371745695,-2730.1838989258,0.7,23000.0,14160.0,0.0,0.0,,0.144052642423138,556.838631674927,,29.6,
230,AGO,YR2001,72.3373031616211,26.6792999769536,1.71981760075454,0.761842805096947,-1945.8189086914,,24240.0,14500.0,,,,0.175657498292473,527.333528536691,,,
231,AGO,YR2002,70.4209976196289,28.1478041542876,1.73430631058294,0.777423085629899,-1079.9944458008,,26220.0,15700.0,,,,0.115982373844156,872.494441791273,,,
232,AGO,YR2003,65.1404037475586,31.7214241193656,2.12522370310023,0.993848349116355,1883.6541748047,,29280.0,18000.0,,,,0.118445217317256,982.96100777685,,,
233,AGO,YR2004,61.915699005127,31.5616371865686,2.2124266811088,1.02835366708572,3070.8256835937,,30260.0,18110.0,,,,0.114388176254224,1255.56451325546,,,
234,AGO,YR2005,68.378303527832,27.0837714677975,2.16119961888829,0.937036691701652,3464.7194213867,19.3,31110.0,17820.0,0.0,0.0,,0.0766751503474329,1902.42214975937,,,
235,AGO,YR2006,62.1273002624512,31.6746743551437,2.20018979611683,1.00943403951532,4681.3120117187,,31180.0,16460.0,,,,0.0785685484284245,2599.56594793067,,,
236,AGO,YR2007,58.4916000366211,34.7424758172093,2.38212632510214,1.1236352782253,7244.0906982422,,33610.0,17620.0,,,,0.0885134800475921,3121.99608528081,,,
237,AGO,YR2008,54.8820991516113,37.9607595728901,2.34968129402608,1.15599284575018,6583.1341552734,26.5,34160.0,16700.0,0.0,0.0,,0.065972024947952,4080.94103372417,,26.6,
238,AGO,YR2009,52.4138984680176,41.7993312438043,2.3405690970912,1.20590158910291,6826.5859375,,35590.0,16790.0,,,1.01176467635625,0.0788538169698183,3122.7815987074,,,
239,AGO,YR2010,50.7648010253906,42.9925150346511,2.34472754767222,1.22151474078862,5488.9270019531,31.0,37730.0,17680.0,0.0,0.0,,0.0862858946390075,3587.88364462837,,,
