,economy
2625,CYP
2626,CYP
2627,CYP
2628,CYP
2629,CYP
2630,CYP
2631,CYP
2632,CYP
2633,CYP
2634,CYP
2635,CYP
2636,CYP
2637,CYP
2638,CYP
2639,CYP
2640,CYP
2672,CZE
2673,CZE
2674,CZE
2675,CZE
2676,CZE
2677,CZE
2678,CZE
2679,CZE
2680,CZE
2681,CZE
2682,CZE
2683,CZE
2684,CZE
2685,CZE
2686,CZE
2687,CZE
2688,CZE
2689,CZE
2690,CZE
2722,DEU
2723,DEU
2724,DEU
2725,DEU
2726,DEU
2727,DEU
2728,DEU
2729,DEU
2730,DEU
2731,DEU
2732,DEU
2733,DEU
2734,DEU
2735,DEU
2736,DEU
2737,DEU
2738,DEU
2739,DEU
2740,DEU
2772,DJI
2773,DJI
2774,DJI
2775,DJI
2776,DJI
2777,DJI
2778,DJI
2779,DJI
2780,DJI
2781,DJI
2782,DJI
2783,DJI
2784,DJI
2785,DJI
2786,DJI
2787,DJI
2788,DJI
2789,DJI
2790,DJI
2822,DMA
2823,DMA
2824,DMA
2825,DMA
2826,DMA
2827,DMA
2828,DMA
2829,DMA
2830,DMA
2831,DMA
2832,DMA
2833,DMA
2834,DMA
2835,DMA
2836,DMA
2837,DMA
2838,DMA
2839,DMA
2840,DMA
2872,DNK
2873,DNK
2874,DNK
2875,DNK
2876,DNK
2877,DNK
2878,DNK
2879,DNK
2880,DNK
2881,DNK
2882,DNK
2883,DNK
2884,DNK
2885,DNK
2886,DNK
2887,DNK
2888,DNK
2889,DNK
2890,DNK
2922,DOM
2923,DOM
2924,DOM
2925,DOM
2926,DOM
2927,DOM
2928,DOM
2929,DOM
2930,DOM
2931,DOM
2932,DOM
2933,DOM
2934,DOM
2935,DOM
2936,DOM
2937,DOM
2938,DOM
2939,DOM
2940,DOM
2972,DZA
2973,DZA
2974,DZA
2975,DZA
2976,DZA
2977,DZA
2978,DZA
2979,DZA
2980,DZA
2981,DZA
2982,DZA
2983,DZA
2984,DZA
2985,DZA
2986,DZA
2987,DZA
2988,DZA
2989,DZA
2990,DZA
3022,EAP
3023,EAP
3024,EAP
3025,EAP
3026,EAP
3027,EAP
3028,EAP
3029,EAP
3030,EAP
3031,EAP
3032,EAP
3033,EAP
3034,EAP
3035,EAP
3036,EAP
3037,EAP
3038,EAP
3039,EAP
3040,EAP
3072,EAR
3073,EAR
3074,EAR
3075,EAR
3076,EAR
3077,EAR
3078,EAR
3079,EAR
3080,EAR
3081,EAR
3082,EAR
3083,EAR
3084,EAR
3085,EAR
3086,EAR
3087,EAR
3088,EAR
3089,EAR
3090,EAR
3122,EAS
3123,EAS
3124,EAS
3125,EAS
3126,EAS
3127,EAS
3128,EAS
3129,EAS
3130,EAS
3131,EAS
3132,EAS
3133,EAS
3134,EAS
3135,EAS
3136,EAS
3137,EAS
3138,EAS
3139,EAS
3140,EAS
3172,ECA
3173,ECA
3174,ECA
3175,ECA
3176,ECA
3177,ECA
3178,ECA
3179,ECA
3180,ECA
3181,ECA
3182,ECA
3183,ECA
3184,ECA
3185,ECA
3186,ECA
3187,ECA
3188,ECA
3189,ECA
3190,ECA
3222,ECS
3223,ECS
3224,ECS
3225,ECS
3226,ECS
3227,ECS
3228,ECS
3229,ECS
3230,ECS
3231,ECS
3232,ECS
3233,ECS
3234,ECS
3235,ECS
3236,ECS
3237,ECS
3238,ECS
3239,ECS
3240,ECS
3272,ECU
3273,ECU
3274,ECU
3275,ECU
3276,ECU
3277,ECU
3278,ECU
3279,ECU
3280,ECU
3281,ECU
3282,ECU
3283,ECU
3284,ECU
3285,ECU
3286,ECU
3287,ECU
3288,ECU
3289,ECU
3290,ECU
3322,EGY
3323,EGY
3324,EGY
3325,EGY
3326,EGY
3327,EGY
3328,EGY
3329,EGY
3330,EGY
3331,EGY
3332,EGY
3333,EGY
3334,EGY
3335,EGY
3336,EGY
3337,EGY
3338,EGY
3339,EGY
3340,EGY
3372,EMU
3373,EMU
3374,EMU
3375,EMU
3376,EMU
3377,EMU
3378,EMU
3379,EMU
3380,EMU
3381,EMU
3382,EMU
3383,EMU
3384,EMU
3385,EMU
3386,EMU
3387,EMU
3388,EMU
3389,EMU
3390,EMU
3422,ERI
3423,ERI
3424,ERI
3425,ERI
3426,ERI
3427,ERI
3428,ERI
3429,ERI
3430,ERI
3431,ERI
3432,ERI
3433,ERI
3471,ESP
3472,ESP
3473,ESP
3474,ESP
3475,ESP
3476,ESP
3477,ESP
3478,ESP
3479,ESP
3480,ESP
3481,ESP
3482,ESP
3483,ESP
3484,ESP
3485,ESP
3486,ESP
3487,ESP
3488,ESP
3489,ESP
3521,EST
3522,EST
3523,EST
3524,EST
3525,EST
3526,EST
3527,EST
3528,EST
3529,EST
3530,EST
3531,EST
3532,EST
3533,EST
3534,EST
3535,EST
3536,EST
3537,EST
3538,EST
3539,EST
3571,ETH
3572,ETH
3573,ETH
3574,ETH
3575,ETH
3576,ETH
3577,ETH
3578,ETH
3579,ETH
3580,ETH
3581,ETH
3582,ETH
3583,ETH
3584,ETH
3585,ETH
3586,ETH
3587,ETH
3588,ETH
3589,ETH
3621,EUU
3622,EUU
3623,EUU
3624,EUU
3625,EUU
3626,EUU
3627,EUU
3628,EUU
3629,EUU
3630,EUU
3631,EUU
3632,EUU
3633,EUU
3634,EUU
3635,EUU
3636,EUU
3637,EUU
3638,EUU
3639,EUU
3671,FCS
3672,FCS
3673,FCS
3674,FCS
3675,FCS
3676,FCS
3677,FCS
3678,FCS
3679,FCS
3680,FCS
3681,FCS
3682,FCS
3683,FCS
3684,FCS
3685,FCS
3686,FCS
3687,FCS
3688,FCS
3689,FCS
3721,FIN
3722,FIN
3723,FIN
3724,FIN
3725,FIN
3726,FIN
3727,FIN
3728,FIN
3729,FIN
3730,FIN
3731,FIN
3732,FIN
3733,FIN
3734,FIN
3735,FIN
3736,FIN
3737,FIN
3738,FIN
3739,FIN
3771,FJI
3772,FJI
3773,FJI
3774,FJI
3775,FJI
3776,FJI
3777,FJI
3778,FJI
3779,FJI
3780,FJI
3781,FJI
3782,FJI
3783,FJI
3784,FJI
3785,FJI
3786,FJI
3787,FJI
3788,FJI
3789,FJI
3821,FRA
3822,FRA
3823,FRA
3824,FRA
3825,FRA
3826,FRA
3827,FRA
3828,FRA
3829,FRA
3830,FRA
3831,FRA
3832,FRA
3833,FRA
3834,FRA
3835,FRA
3836,FRA
3837,FRA
3838,FRA
3839,FRA
3921,FSM
3922,FSM
3923,FSM
3924,FSM
3925,FSM
3926,FSM
3927,FSM
3928,FSM
3929,FSM
3930,FSM
3931,FSM
3932,FSM
3933,FSM
3934,FSM
3935,FSM
3936,FSM
3937,FSM
3938,FSM
3939,FSM
3971,GAB
3972,GAB
3973,GAB
3974,GAB
3975,GAB
3976,GAB
3977,GAB
3978,GAB
3979,GAB
3980,GAB
3981,GAB
3982,GAB
3983,GAB
3984,GAB
3985,GAB
3986,GAB
3987,GAB
3988,GAB
3989,GAB
4021,GBR
4022,GBR
4023,GBR
4024,GBR
4025,GBR
4026,GBR
4027,GBR
4028,GBR
4029,GBR
4030,GBR
4031,GBR
4032,GBR
4033,GBR
4034,GBR
4035,GBR
4036,GBR
4037,GBR
4038,GBR
4039,GBR
4071,GEO
4072,GEO
4073,GEO
4074,GEO
4075,GEO
4076,GEO
4077,GEO
4078,GEO
4079,GEO
4080,GEO
4081,GEO
4082,GEO
4083,GEO
4084,GEO
4085,GEO
4086,GEO
4087,GEO
4088,GEO
4089,GEO
4121,GHA
4122,GHA
4123,GHA
4124,GHA
4125,GHA
4126,GHA
4127,GHA
4128,GHA
4129,GHA
4130,GHA
4131,GHA
4132,GHA
4133,GHA
4134,GHA
4135,GHA
4136,GHA
4137,GHA
4138,GHA
4139,GHA
4220,GIN
4221,GIN
4222,GIN
4223,GIN
4224,GIN
4225,GIN
4226,GIN
4227,GIN
4228,GIN
4229,GIN
4230,GIN
4231,GIN
4232,GIN
4233,GIN
4234,GIN
4235,GIN
4236,GIN
4237,GIN
4238,GIN
4270,GMB
4271,GMB
4272,GMB
4273,GMB
4274,GMB
4275,GMB
4276,GMB
4277,GMB
4278,GMB
4279,GMB
4280,GMB
4281,GMB
4282,GMB
4283,GMB
4284,GMB
4285,GMB
4286,GMB
4287,GMB
4288,GMB
4320,GNB
4321,GNB
4322,GNB
4323,GNB
4324,GNB
4325,GNB
4326,GNB
4327,GNB
4328,GNB
4329,GNB
4330,GNB
4331,GNB
4332,GNB
4333,GNB
4334,GNB
4335,GNB
4336,GNB
4337,GNB
4338,GNB
4370,GNQ
4371,GNQ
4372,GNQ
4373,GNQ
4374,GNQ
4375,GNQ
4376,GNQ
4377,GNQ
4378,GNQ
4379,GNQ
4380,GNQ
4381,GNQ
4382,GNQ
4383,GNQ
4384,GNQ
4385,GNQ
4386,GNQ
4387,GNQ
4388,GNQ
4420,GRC
4421,GRC
4422,GRC
4423,GRC
4424,GRC
4425,GRC
4426,GRC
4427,GRC
4428,GRC
4429,GRC
4430,GRC
4431,GRC
4432,GRC
4433,GRC
4434,GRC
4435,GRC
4436,GRC
4437,GRC
4438,GRC
4470,GRD
4471,GRD
4472,GRD
4473,GRD
4474,GRD
4475,GRD
4476,GRD
4477,GRD
4478,GRD
4479,GRD
4480,GRD
4481,GRD
4482,GRD
4483,GRD
4484,GRD
4485,GRD
4486,GRD
4487,GRD
4488,GRD
4570,GTM
4571,GTM
4572,GTM
4573,GTM
4574,GTM
4575,GTM
4576,GTM
4577,GTM
4578,GTM
4579,GTM
4580,GTM
4581,GTM
4582,GTM
4583,GTM
4584,GTM
4585,GTM
4586,GTM
4587,GTM
4588,GTM
4670,GUY
4671,GUY
4672,GUY
4673,GUY
4674,GUY
4675,GUY
4676,GUY
4677,GUY
4678,GUY
4679,GUY
4680,GUY
4681,GUY
4682,GUY
4683,GUY
4684,GUY
4685,GUY
4686,GUY
4687,GUY
4688,GUY
4720,HIC
4721,HIC
4722,HIC
4723,HIC
4724,HIC
4725,HIC
4726,HIC
4727,HIC
4728,HIC
4729,HIC
4730,HIC
4731,HIC
4732,HIC
4733,HIC
4734,HIC
4735,HIC
4736,HIC
4737,HIC
4738,HIC
4820,HND
4821,HND
4822,HND
4823,HND
4824,HND
4825,HND
4826,HND
4827,HND
4828,HND
4829,HND
4830,HND
4831,HND
4832,HND
4833,HND
4834,HND
4835,HND
4836,HND
4837,HND
4838,HND
4870,HPC
4871,HPC
4872,HPC
4873,HPC
4874,HPC
4875,HPC
4876,HPC
4877,HPC
4878,HPC
4879,HPC
4880,HPC
4881,HPC
4882,HPC
4883,HPC
4884,HPC
4885,HPC
4886,HPC
4887,HPC
4888,HPC
4920,HRV
4921,HRV
4922,HRV
4923,HRV
4924,HRV
4925,HRV
4926,HRV
4927,HRV
4928,HRV
4929,HRV
4930,HRV
4931,HRV
4932,HRV
4933,HRV
4934,HRV
4935,HRV
4936,HRV
4937,HRV
4938,HRV
4970,HTI
4971,HTI
4972,HTI
4973,HTI
4974,HTI
4975,HTI
4976,HTI
4977,HTI
4978,HTI
4979,HTI
4980,HTI
4981,HTI
4982,HTI
4983,HTI
4984,HTI
4985,HTI
4986,HTI
4987,HTI
4988,HTI
5020,HUN
5021,HUN
5022,HUN
5023,HUN
5024,HUN
5025,HUN
5026,HUN
5027,HUN
5028,HUN
5029,HUN
5030,HUN
5031,HUN
5032,HUN
5033,HUN
5034,HUN
5035,HUN
5036,HUN
5037,HUN
5038,HUN
5070,IBD
5071,IBD
5072,IBD
5073,IBD
5074,IBD
5075,IBD
5076,IBD
5077,IBD
5078,IBD
5079,IBD
5080,IBD
5081,IBD
5082,IBD
5083,IBD
5084,IBD
5085,IBD
5086,IBD
5087,IBD
5088,IBD
5120,IBT
5121,IBT
5122,IBT
5123,IBT
5124,IBT
5125,IBT
5126,IBT
5127,IBT
5128,IBT
5129,IBT
5130,IBT
5131,IBT
5132,IBT
5133,IBT
5134,IBT
5135,IBT
5136,IBT
5137,IBT
5138,IBT
5170,IDA
5171,IDA
5172,IDA
5173,IDA
5174,IDA
5175,IDA
5176,IDA
5177,IDA
5178,IDA
5179,IDA
5180,IDA
5181,IDA
5182,IDA
5183,IDA
5184,IDA
5185,IDA
5186,IDA
5187,IDA
5188,IDA
5220,IDB
5221,IDB
5222,IDB
5223,IDB
5224,IDB
5225,IDB
5226,IDB
5227,IDB
5228,IDB
5229,IDB
5230,IDB
5231,IDB
5232,IDB
5233,IDB
5234,IDB
5235,IDB
5236,IDB
5237,IDB
5238,IDB
5270,IDN
5271,IDN
5272,IDN
5273,IDN
5274,IDN
5275,IDN
5276,IDN
5277,IDN
5278,IDN
5279,IDN
5280,IDN
5281,IDN
5282,IDN
5283,IDN
5284,IDN
5285,IDN
5286,IDN
5287,IDN
5288,IDN
5320,IDX
5321,IDX
5322,IDX
5323,IDX
5324,IDX
5325,IDX
5326,IDX
5327,IDX
5328,IDX
5329,IDX
5330,IDX
5331,IDX
5332,IDX
5333,IDX
5334,IDX
5335,IDX
5336,IDX
5337,IDX
5338,IDX
5395,IND
5396,IND
5397,IND
5398,IND
5399,IND
5400,IND
5401,IND
5402,IND
5403,IND
5404,IND
5405,IND
5406,IND
5407,IND
5408,IND
5409,IND
5410,IND
5411,IND
5412,IND
5413,IND
5445,IRL
5446,IRL
5447,IRL
5448,IRL
5449,IRL
5450,IRL
5451,IRL
5452,IRL
5453,IRL
5454,IRL
5455,IRL
5456,IRL
5457,IRL
5458,IRL
5459,IRL
5460,IRL
5461,IRL
5462,IRL
5463,IRL
5495,IRN
5496,IRN
5497,IRN
5498,IRN
5499,IRN
5500,IRN
5501,IRN
5502,IRN
5503,IRN
5504,IRN
5505,IRN
5506,IRN
5507,IRN
5508,IRN
5509,IRN
5510,IRN
5511,IRN
5512,IRN
5513,IRN
5545,IRQ
5546,IRQ
5547,IRQ
5548,IRQ
5549,IRQ
5550,IRQ
5551,IRQ
5552,IRQ
5553,IRQ
5554,IRQ
5555,IRQ
5556,IRQ
5557,IRQ
5558,IRQ
5559,IRQ
5560,IRQ
5561,IRQ
5562,IRQ
5563,IRQ
5595,ISL
5596,ISL
5597,ISL
5598,ISL
5599,ISL
5600,ISL
5601,ISL
5602,ISL
5603,ISL
5604,ISL
5605,ISL
5606,ISL
5607,ISL
5608,ISL
5609,ISL
5610,ISL
5611,ISL
5612,ISL
5613,ISL
5645,ISR
5646,ISR
5647,ISR
5648,ISR
5649,ISR
5650,ISR
5651,ISR
5652,ISR
5653,ISR
5654,ISR
5655,ISR
5656,ISR
5657,ISR
5658,ISR
5659,ISR
5660,ISR
5661,ISR
5662,ISR
5663,ISR
5695,ITA
5696,ITA
5697,ITA
5698,ITA
5699,ITA
5700,ITA
5701,ITA
5702,ITA
5703,ITA
5704,ITA
5705,ITA
5706,ITA
5707,ITA
5708,ITA
5709,ITA
5710,ITA
5711,ITA
5712,ITA
5713,ITA
5745,JAM
5746,JAM
5747,JAM
5748,JAM
5749,JAM
5750,JAM
5751,JAM
5752,JAM
5753,JAM
5754,JAM
5755,JAM
5756,JAM
5757,JAM
5758,JAM
5759,JAM
5760,JAM
5761,JAM
5762,JAM
5763,JAM
5795,JOR
5796,JOR
5797,JOR
5798,JOR
5799,JOR
5800,JOR
5801,JOR
5802,JOR
5803,JOR
5804,JOR
5805,JOR
5806,JOR
5807,JOR
5808,JOR
5809,JOR
5810,JOR
5811,JOR
5812,JOR
5813,JOR
5845,JPN
5846,JPN
5847,JPN
5848,JPN
5849,JPN
5850,JPN
5851,JPN
5852,JPN
5853,JPN
5854,JPN
5855,JPN
5856,JPN
5857,JPN
5858,JPN
5859,JPN
5860,JPN
5861,JPN
5862,JPN
5863,JPN
5895,KAZ
5896,KAZ
5897,KAZ
5898,KAZ
5899,KAZ
5900,KAZ
5901,KAZ
5902,KAZ
5903,KAZ
5904,KAZ
5905,KAZ
5906,KAZ
5907,KAZ
5908,KAZ
5909,KAZ
5910,KAZ
5911,KAZ
5912,KAZ
5913,KAZ
5945,KEN
5946,KEN
5947,KEN
5948,KEN
5949,KEN
5950,KEN
5951,KEN
5952,KEN
5953,KEN
5954,KEN
5955,KEN
5956,KEN
5957,KEN
5958,KEN
